,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
37,4382,LIRU,medium_airport,Rome Urbe Airport,41.952096,12.502231,55.0,EU,Italy,IT,Lazio,IT-62,62,Rome,0,LIRU,,RM10,,,ROM,250,2021-10-17T20:37:27+00:00
38,4329,LIDT,medium_airport,Trento-Mattarello Airport,46.0214,11.1242,610.0,EU,Italy,IT,Trentino-Alto Adige,IT-32,32,Trento (TN),0,LIDT,,TN01,http://www.aeroportocaproni.it/,http://it.wikipedia.org/wiki/Aeroporto_di_Trento-Mattarello,Gianni Caproni Trento,250,2016-10-30T06:13:34+00:00
39,4323,LICR,medium_airport,Reggio Calabria Airport,38.071201,15.6516,96.0,EU,Italy,IT,Calabria,IT-78,78,Reggio Calabria,1,LICR,REG,RC01,,https://en.wikipedia.org/wiki/Reggio_Calabria_Airport,Tito Minniti,750,2016-07-27T01:47:23+00:00
40,298716,LICB,medium_airport,Comiso Airport,36.994601,14.607182,623.0,EU,Italy,IT,Sicily,IT-82,82,Comiso,1,LICB,CIY,RG06,http://www.aeroportodicomiso.it/,https://en.wikipedia.org/wiki/Comiso_Airport,"Vincenzo Magliocco Airport, Aeroporto di Comiso",500,2021-05-29T06:30:12+00:00
42,4349,LIMW,medium_airport,Aosta Airport,45.738499,7.36872,1791.0,EU,Italy,IT,Valle d'Aosta,IT-23,23,Aosta,0,LIMW,AOT,AO01,http://www.avda-aosta.it/,https://en.wikipedia.org/wiki/Aosta_Airport,,750,2021-06-12T07:18:47+00:00
43,4365,LIPU,medium_airport,Padova Airfield,45.395802,11.8479,44.0,EU,Italy,IT,Veneto,IT-34,34,Padova,0,LIPU,,PD11,,,,250,2021-08-28T06:26:13+00:00
44,4369,LIQS,medium_airport,Siena-Ampugnano Airport,43.256302,11.255,634.0,EU,Italy,IT,Tuscany,IT-52,52,Siena,0,LIQS,SAY,SI01,,https://en.wikipedia.org/wiki/Siena-Ampugnano_Airport,Malignano Airfield,250,2016-09-19T02:44:11+00:00
45,4384,LIRZ,medium_airport,Perugia San Francesco d'Assisi – Umbria International Airport,43.095901,12.5132,697.0,EU,Italy,IT,Umbria,IT-55,55,Perugia,1,LIRZ,PEG,PG10,http://www.airport.umbria.it/,https://en.wikipedia.org/wiki/San_Egidio_Airport,"Perugia San Francesco d'Assisi, Perugia Sant'Egidio Airport, Umbria International Airport",750,2021-09-24T03:19:06+00:00
48,4335,LILE,medium_airport,Biella-Cerrione Airport,45.4953,8.10278,920.0,EU,Italy,IT,Piedmont,IT-21,21,Biella (BI),0,LILE,,BI03,http://www.aeroportobiella.it/,https://en.wikipedia.org/wiki/Biella-Cerrione_Airport,,250,2016-08-26T00:59:07+00:00
54,29429,LILM,medium_airport,Casale Monferrato Airport,45.111198,8.45603,377.0,EU,Italy,IT,Piedmont,IT-21,21,Casale Monferrato,0,LILM,,AL04,http://www.aeroclubcasale.it/,https://it.wikipedia.org/wiki/Aeroporto_di_Casale_Monferrato,,250,2016-08-25T05:43:29+00:00
58,4334,LIET,medium_airport,Tortolì Airport,39.9188,9.68298,23.0,EU,Italy,IT,Sardinia,IT-88,88,Arbatax,0,LIET,TTB,NU01,,https://en.wikipedia.org/wiki/Tortol%C3%AC_Airport,Tortolì-Arbatax airport,750,2021-05-29T07:16:53+00:00
