id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
308680,IT-0044,small_airport,"Campo di Volo Beltrutta",44.498333,7.723333,1174,EU,Italy,IT,Piedmont,IT-21,21,"Pezzolo Valle Uzzone (CN)",0,,,CN04,,,,50,2016-08-11T12:53:24+00:00
308694,IT-0058,small_airport,"Aviosuperficie Prealpi-Musinè",45.124499,7.521442,,EU,Italy,IT,Piedmont,IT-21,21,"Pianezza (TO)",0,,,TOPIA,http://www.scuolavolopegasus.com/dove-siamo,,GAP,50,2021-11-05T13:56:04+00:00
308693,IT-0057,small_airport,"Aviosuperficie Piovera",44.935833,8.749333,312,EU,Italy,IT,Piedmont,IT-21,21,"Piovera (AL)",0,,,ALASS,,,"Centro ULM Alessandria",50,2016-11-05T03:10:59+00:00
308707,IT-0071,small_airport,"Campo di Volo Sant'Elia",44.741963,7.70987,,EU,Italy,IT,Piedmont,IT-21,21,"Racconigi (CN)",0,,,CNRAC,http://www.flyingturtle.it/,,,50,2017-01-29T05:33:22+00:00
298704,IT-0012,small_airport,"Aviosuperficie Rinaura",37.028647,15.243509,40,EU,Italy,IT,Sicily,IT-82,82,"Rinaura (SR)",0,,,SRSIR,http://www.avioclubsiracusa.it,,"Avio Club Siracusa.SIR0",50,2022-11-18T13:36:42+00:00
320233,IT-0426,small_airport,"Campo di Volo Rivoli",45.046818,7.536461,1000,EU,Italy,IT,Piedmont,IT-21,21,"Rivoli (TO)",0,,,TO25,,,,50,2016-09-11T13:33:24+00:00
319978,IT-0379,small_airport,"Aviosuperficie Rosangeles",45.362833,9.016683,360,EU,Italy,IT,Lombardy,IT-25,25,"Rosate (MI)",0,,,MIROS,,,Rosangeles,50,2017-05-26T01:46:43+00:00
298689,IT-0005,small_airport,"Aviosuperficie Bovarella",37.792694,12.845078,656,EU,Italy,IT,Sicily,IT-82,82,Salemi,0,,,TPBOV,http://www.avioclubsalemi.it/,http://it.wikipedia.org/wiki/Aviosuperficie_Bovarella,,50,2017-07-07T18:05:51+00:00
30380,LIDW,small_airport,"Aviosuperficie G. Carrer",45.6992,12.5431,7,EU,Italy,IT,Veneto,IT-34,34,"Salgareda (TV)",0,LIDW,,TV03,,,"Carrer, G.Carrer",50,2016-08-26T04:51:24+00:00
315987,IT-0129,small_airport,"Aviosuperficie Caposile",45.564444,12.574722,,EU,Italy,IT,Veneto,IT-34,34,"San Donà di Piave",0,,,VECAP,http://www.aviosuperficiecaposile.it,,"Caposile, Papere Vagabonde",50,2017-07-22T01:58:48+00:00
308700,IT-0064,small_airport,"Campo di volo Ploia",44.884167,8.780833,420,EU,Italy,IT,Piedmont,IT-21,21,"San Giuliano Vecchio (AL)",0,,,ALTOR,,,,50,2016-11-05T03:12:29+00:00
319450,IT-0285,small_airport,"Aviosuperficie ""Parco Livenza""",45.74,12.70393,,EU,Italy,IT,Veneto,IT-34,34,"San Stino di Livenza (VE)",0,,,VESSL,,,,50,2017-07-22T01:50:47+00:00
337972,IT-0620,small_airport,"Locher Field",46.600776,11.380098,3000,EU,Italy,IT,"Trentino-Alto Adige",IT-32,32,Sarentino,0,,,,,,,50,2020-12-20T05:25:30+00:00
317365,IT-0181,small_airport,"Aviosuperficie Aliscarlino",42.912222,10.816667,9,EU,Italy,IT,Tuscany,IT-52,52,"Scarlino (GR)",0,,,GRSCA,,,,50,2017-02-05T02:21:00+00:00
319566,IT-0319,small_airport,"Campo di Volo San Paolo",45.377553,10.037612,131,EU,Italy,IT,Lombardy,IT-25,25,"Scarpizzolo (BS)",0,,,BSSCR,,,"San Paolo",50,2016-12-31T05:26:12+00:00
320538,IT-0461,small_airport,"Campo di Volo Groane",45.56612,9.109705,,EU,Italy,IT,Lombardy,IT-25,25,"Senago (MI)",0,,,MISEN,,,"Groane,Senago",50,2017-05-24T02:15:40+00:00
46546,IT-0002,closed,"Campo di Volo ""Senigallia Nord""",43.738267,13.183208,,EU,Italy,IT,Marche,IT-57,57,Senigallia,0,,,,,,ANSEN,50,2022-12-16T02:41:46+00:00
319216,IT-0256,small_airport,"Aviosuperficie di Rubbiano",44.671947,10.060862,518,EU,Italy,IT,Emilia-Romagna,IT-45,45,Solignano,0,,,PR06,,,Rubbiano,50,2016-06-28T11:11:51+00:00
315440,IT-0079,small_airport,"Aviosuperficie La Speziana",45.12847,9.36284,459,EU,Italy,IT,Lombardy,IT-25,25,"Spessa Po (PV)",0,,,PVSPO,http://www.speziana.it,,"Spessa Po",50,2017-06-23T01:11:45+00:00
320020,IT-0390,small_airport,"Campo di Volo ""Delta Top Pegaso""",42.224206,11.7948,351,EU,Italy,IT,Lazio,IT-62,62,"Tarquinia (VT)",0,,,VTTAA,,,"Delta Top Pegaso",50,2017-07-22T12:34:06+00:00
317407,LIAA,small_airport,"Aviosuperficie ""Alvaro Leonardi""",42.573333,12.584444,374,EU,Italy,IT,Umbria,IT-55,55,Terni,0,LIAA,,,http://www.avioleonarditerni.it,,,50,2022-11-21T18:08:16+00:00
315442,IT-0081,small_airport,"Aviosuperficie Pradelle",45.49278,10.119883,341,EU,Italy,IT,Lombardy,IT-25,25,"Torbole di Casaglia (BS)",0,,,BSTOR,http://www.volobrescia.it,,,50,2016-12-31T05:32:45+00:00
320006,IT-0387,small_airport,"Aviosuperficie Delfina",42.842934,12.734494,708,EU,Italy,IT,Umbria,IT-55,55,"Trevi (PG)",0,,,PGTRE,http://www.scuoladivolo.com,,"Delfina, AvioClub Trevi",50,2017-06-18T05:01:52+00:00
308709,IT-0073,small_airport,"Campo di Volo Valsusa",45.1125,7.287222,1250,EU,Italy,IT,Piedmont,IT-21,21,"Vaie (TO)",0,,,TO26,http://www.vaievola.it/,,,50,2016-07-08T01:41:20+00:00
315890,IT-0116,small_airport,"Aviosuperficie ""Passo del Tonale""",46.264722,10.599167,6550,EU,Italy,IT,"Trentino-Alto Adige",IT-32,32,"Vermiglio (BS)",0,,,TNTON,https://www.aeroportocaproni.com/it/17/aviosuperficie-tonale,,"Tonale,Passo del Tonale",50,2021-01-31T15:31:39+00:00
321039,IT-0489,small_airport,"Campo di Volo Pellicano",44.8472222,7.5622222,813,EU,Italy,IT,Piedmont,IT-21,21,"Virle (TO)",0,,,TOVIR,,,Pellicano,50,2016-11-04T11:05:26+00:00
319421,IT-0275,small_airport,"Campo di Volo Arcobaleno",44.4969444,11.2436111,,EU,Italy,IT,Emilia-Romagna,IT-45,45,"Zola Predosa (BO)",0,,,BO11,,,,50,2016-07-10T05:35:40+00:00
347613,IT-0687,heliport,"Eliporto Imperia",43.8842,8.028549,,EU,Italy,IT,Liguria,IT-42,42,,0,,,,,,,0,2021-09-15T05:50:15+00:00
355348,IT-0701,heliport,"Eliossola Heliport",41.3524,13.44381,187,EU,Italy,IT,Lazio,IT-62,62,"04022 Fondi LT",0,,,,,,,0,2022-06-29T14:22:39+00:00
355349,IT-0702,heliport,"Ospedale Civile Helipad",42.66673,13.71704,961,EU,Italy,IT,Abruzzi,IT-65,65,"64100 Teramo TE",0,,,,,,,0,2022-06-29T14:24:52+00:00
355352,IT-0704,heliport,"Protezione Civile Valtrigno",41.86637,14.53371,2942,EU,Italy,IT,Lazio,IT-62,62,"66050 Torrebruna CH",0,,,,,,,0,2022-06-29T14:31:15+00:00
331158,IT-0538,closed,"Campo Volo SAT Torino",44.889233,7.680422,,EU,Italy,IT,Piedmont,IT-21,21,Carmagnola,0,,,,https://www.satvolo.org,,,0,2019-05-05T11:18:12+00:00
355343,IT-0697,heliport,"Ceccano Heliport",41.53391,13.37462,400,EU,Italy,IT,Lazio,IT-62,62,"Castro dei Volsci FR",0,,,,,,,0,2022-06-29T14:09:45+00:00
355347,IT-0700,heliport,"Poliambulatorio di Ladispoli Helipad",41.96867,12.08137,29,EU,Italy,IT,Lazio,IT-62,62,"Poliambulatorio di Ladispoli",0,,,,,,,0,2022-06-29T14:19:51+00:00
355351,IT-0703,heliport,"Ospedale San Camillo",41.86757,12.45755,134,EU,Italy,IT,Lazio,IT-62,62,Roma,0,,,,,,,0,2022-06-29T14:26:38+00:00
355345,IT-0698,heliport,"Ospedale di Sora Heliport",41.72915,13.6321,1167,EU,Italy,IT,Lazio,IT-62,62,Sora,0,,,,,,,0,2022-06-29T14:13:40+00:00
355346,IT-0699,heliport,"Elitaliana Pegaso 33 Heliport",42.44131,12.05924,984,EU,Italy,IT,Lazio,IT-62,62,Viterbo,0,,,,,,,0,2022-06-29T14:16:06+00:00
35275,IT-TQR,heliport,"San Domino Island Heliport",42.117775,15.490655,,EU,Italy,IT,Apulia,IT-75,75,"Tremiti Islands",1,LINI,,,,https://de.wikipedia.org/wiki/Heliport_San_Domino,,625,2023-04-27T11:17:48+00:00
4353,LIPC,medium_airport,"Cervia Air Base",44.224201,12.3072,18,EU,Italy,IT,Emilia-Romagna,IT-45,45,Cervia,0,LIPC,,RA08,,https://en.wikipedia.org/wiki/Cervia_Air_Force_Base,"G Cenni, Pisignano",400,2021-10-13T23:57:47+00:00
4371,LIRE,medium_airport,"Pratica Di Mare Air Base",41.654499,12.4452,41,EU,Italy,IT,Lazio,IT-62,62,Pomezia,0,LIRE,,RM22,,,"M de Bernardi",400,2016-10-26T08:25:16+00:00
4376,LIRL,medium_airport,"Latina Air Base",41.5424,12.909,94,EU,Italy,IT,Lazio,IT-62,62,Latina,0,LIRL,,LT02,,https://it.wikipedia.org/wiki/Aeroporto_di_Latina,"E Comani",275,2021-08-28T01:56:07+00:00
4377,LIRM,medium_airport,"Grazzanise Air Base",41.060799,14.0819,29,EU,Italy,IT,Campania,IT-72,72,Caserta,0,LIRM,,CE07,,http://it.wikipedia.org/wiki/Aeroporto_di_Caserta-Grazzanise,"C Romagnoli",250,2017-01-07T03:43:13+00:00
4308,LIBA,medium_airport,"Amendola Air Base",41.541401,15.7181,183,EU,Italy,IT,Apulia,IT-75,75,Foggia,0,LIBA,,FG06,,,"Luigi Rovelli",250,2016-07-09T06:28:58+00:00
4373,LIRG,medium_airport,"Guidonia Air Base",41.990299,12.7408,289,EU,Italy,IT,Lazio,IT-62,62,Guidonia,0,LIRG,,RM13,,https://it.wikipedia.org/wiki/Aeroporto_di_Guidonia,"Alfredo Barbieri",250,2016-09-11T13:13:06+00:00
30196,LIMR,medium_airport,"Novi Ligure Airport",44.779999,8.78639,607,EU,Italy,IT,Piedmont,IT-21,21,"Novi Ligure",0,LIMR,,AL05,http://www.voloavelanovi.it/,https://it.wikipedia.org/wiki/Aeroporto_di_Novi_Ligure,,250,2016-07-12T04:01:54+00:00
4348,LIMS,medium_airport,"Piacenza San Damiano Air Base",44.913102,9.723322,456,EU,Italy,IT,Emilia-Romagna,IT-45,45,Piacenza,0,LIMS,,PC08,,https://en.wikipedia.org/wiki/Piacenza-San_Damiano_Air_Base,"San Damiano, QPZ",250,2017-01-07T12:55:05+00:00
29441,LIQW,medium_airport,"Sarzana-Luni Air Base",44.088001,9.98795,45,EU,Italy,IT,Liguria,IT-42,42,"Sarzana (SP)",0,LIQW,,SP01,,http://it.wikipedia.org/wiki/Aeroporto_di_Sarzana-Luni,"Bartolomeo Arrigoni",250,2021-08-28T06:27:45+00:00
4364,LIPT,closed,"Vicenza Airport",45.573399,11.5295,128,EU,Italy,IT,Veneto,IT-34,34,Vicenza,0,,,,,,"T Dal Molin, LIPT, VIC",250,2016-05-06T06:58:28+00:00
